name,address,category,purpose,goalosCreated,verificationStatus,etherscanUrl,deploymentTransactionHash,transactionUrl
ProofCredentialRegistry,0x207B1300BdEE4cbAD430672ECA5D368e7264994D,workflow,Proof credentials,True,verified,https://etherscan.io/address/0x207B1300BdEE4cbAD430672ECA5D368e7264994D,0x4ce849bf92e805e89876f5c510a9cb86975bd41838db266dd410aa9e168dd116,https://etherscan.io/tx/0x4ce849bf92e805e89876f5c510a9cb86975bd41838db266dd410aa9e168dd116
ProofSeedRegistry,0x7D660ad863aD5aa37405E6568911C1F09E1Bd6f1,workflow,Proof-seed registration,True,verified,https://etherscan.io/address/0x7D660ad863aD5aa37405E6568911C1F09E1Bd6f1,0x316c92f2c812fd9117254e6e94416e8672abbbeba51a809d1ac40076300ca259,https://etherscan.io/tx/0x316c92f2c812fd9117254e6e94416e8672abbbeba51a809d1ac40076300ca259
ProofSubmissionRegistry,0x595AB684e41ba04C6aEE072b4b313B9B96A3f744,workflow,Proof submissions and review flow,True,verified,https://etherscan.io/address/0x595AB684e41ba04C6aEE072b4b313B9B96A3f744,0x1190da4b87f661565e8aa903b91b106460ceee5aa59799fa8c4a0c78e14e0aaf,https://etherscan.io/tx/0x1190da4b87f661565e8aa903b91b106460ceee5aa59799fa8c4a0c78e14e0aaf
ReferralRegistry,0xD6Abd123D43429868603dFEc78e38bD6a86726DD,workflow,Referral provenance,True,verified,https://etherscan.io/address/0xD6Abd123D43429868603dFEc78e38bD6a86726DD,0x5c27c07a3bb7762277a560b7a51a0d6070a0b628ed4ba64fd0ab186a4cfccf0b,https://etherscan.io/tx/0x5c27c07a3bb7762277a560b7a51a0d6070a0b628ed4ba64fd0ab186a4cfccf0b
ReputationRegistry,0x3989E3892aab3FD582E514Bb8e7057978a3c59B1,workflow,Proof-linked reputation,True,verified,https://etherscan.io/address/0x3989E3892aab3FD582E514Bb8e7057978a3c59B1,0x3b9f2be6f6a3e2c307fc21dc04a4a6d100f84023d22a728bddabeec0c9acdc60,https://etherscan.io/tx/0x3b9f2be6f6a3e2c307fc21dc04a4a6d100f84023d22a728bddabeec0c9acdc60
ReviewerBondRegistry,0x97A31181F82dfaBEdD1d0F360aA01baa28045065,workflow,Reviewer bonds,True,verified,https://etherscan.io/address/0x97A31181F82dfaBEdD1d0F360aA01baa28045065,0xf9a5a1e79f06e2e240f4b1f7564d8e7d99f3f62f8b60246443b9333d4599b06d,https://etherscan.io/tx/0xf9a5a1e79f06e2e240f4b1f7564d8e7d99f3f62f8b60246443b9333d4599b06d
LaunchGateRegistry,0xd6155967e091c5b3Cb7b25b942cDc132592F5562,governance,Launch-gate records,True,verified,https://etherscan.io/address/0xd6155967e091c5b3Cb7b25b942cDc132592F5562,0x83474beb492ec6fe6b4673b3278fd937ac3a393307f909a0b5177902f8f6ddc5,https://etherscan.io/tx/0x83474beb492ec6fe6b4673b3278fd937ac3a393307f909a0b5177902f8f6ddc5
ProtocolConfigRegistry,0x15d713b8810fBe8D45aA4be433F65B6EaF145Ade,governance,Protocol configuration,True,verified,https://etherscan.io/address/0x15d713b8810fBe8D45aA4be433F65B6EaF145Ade,0x7c8d6b05de14fd4312e46665a0dd1d22b50b8842b013a46021d99c74553767b9,https://etherscan.io/tx/0x7c8d6b05de14fd4312e46665a0dd1d22b50b8842b013a46021d99c74553767b9
TreasuryRouter,0x1006ed321f1Ed8D2E50D76054CD44Eff22d045f4,governance,Treasury routing,True,verified,https://etherscan.io/address/0x1006ed321f1Ed8D2E50D76054CD44Eff22d045f4,0x926b41aad6a7c5b23182263fa8919d48abcc7ad551040b1a914fcf77a7f0ad85,https://etherscan.io/tx/0x926b41aad6a7c5b23182263fa8919d48abcc7ad551040b1a914fcf77a7f0ad85
AppealRegistry,0xBBF2a5C8bA53d74862051B5FC377C19A092e0f33,optional,Appeal records,True,verified,https://etherscan.io/address/0xBBF2a5C8bA53d74862051B5FC377C19A092e0f33,0x0fef208edd6e14c5dd491381d14d05acf176846981db7f267a1f44b0517961d6,https://etherscan.io/tx/0x0fef208edd6e14c5dd491381d14d05acf176846981db7f267a1f44b0517961d6
BuilderProfileRegistry,0x754EDCb4dfE3295eA550ea7F95B4f6dEE35deD25,optional,Builder profiles,True,verified,https://etherscan.io/address/0x754EDCb4dfE3295eA550ea7F95B4f6dEE35deD25,0x274f5b1a93a49c8a62c08dc3e89b1537148a3c3e4c14299f7c70fc9354601d3d,https://etherscan.io/tx/0x274f5b1a93a49c8a62c08dc3e89b1537148a3c3e4c14299f7c70fc9354601d3d
CredentialRevocationRegistry,0x4BC5246615E54f49a5cE84D9743b9d6e98e3a974,optional,Credential revocation,True,verified,https://etherscan.io/address/0x4BC5246615E54f49a5cE84D9743b9d6e98e3a974,0x78ca6534020069d73b99b5700616e55a1d2af991c1d82fdaadb481b03a49c115,https://etherscan.io/tx/0x78ca6534020069d73b99b5700616e55a1d2af991c1d82fdaadb481b03a49c115
DisputeRegistry,0x96346A9a399623B92dE55D502C6dcA43094bdE28,optional,Dispute records,True,verified,https://etherscan.io/address/0x96346A9a399623B92dE55D502C6dcA43094bdE28,0xd31eaf0578c7c4e12c3252cb42812ad14d41078124642b29ffb6da62074a6f05,https://etherscan.io/tx/0xd31eaf0578c7c4e12c3252cb42812ad14d41078124642b29ffb6da62074a6f05
SponsorRegistry,0xd8da67F26f64319F46aE8170aD7023762C9E2D93,optional,Sponsor records,True,verified,https://etherscan.io/address/0xd8da67F26f64319F46aE8170aD7023762C9E2D93,0x452f6b622a903be09987569ce9d47d1c41f0353e1884d3cabc1f36f2eb893e3c,https://etherscan.io/tx/0x452f6b622a903be09987569ce9d47d1c41f0353e1884d3cabc1f36f2eb893e3c
AEPAgentRegistry,0x1B4804D55b339A5F15F766BB1C0eF295a327b58c,proof,Agent identities,True,verified,https://etherscan.io/address/0x1B4804D55b339A5F15F766BB1C0eF295a327b58c,0xbe9c298923edb51cf88b8502014c1ddc351212fa30d1b3de44dd4c315377ba92,https://etherscan.io/tx/0xbe9c298923edb51cf88b8502014c1ddc351212fa30d1b3de44dd4c315377ba92
AEPArtifactRegistry,0x301ee7014D021F10640E32221AC3AE54292A091D,proof,Versioned capability artifacts,True,verified,https://etherscan.io/address/0x301ee7014D021F10640E32221AC3AE54292A091D,0xb4c5d68f72dc39acf00657c6a63d41983663e24e92821353021fa0276efd20e8,https://etherscan.io/tx/0xb4c5d68f72dc39acf00657c6a63d41983663e24e92821353021fa0276efd20e8
AEPAttestationRegistry,0xc1e3bcDf4E5bd119e22A7A042DCC95C96Fb44D71,proof,Validator attestations,True,verified,https://etherscan.io/address/0xc1e3bcDf4E5bd119e22A7A042DCC95C96Fb44D71,0x339a761c59bad6c2e2c31807b2555abd6600963eba7b553cc79dfa560d5071a1,https://etherscan.io/tx/0x339a761c59bad6c2e2c31807b2555abd6600963eba7b553cc79dfa560d5071a1
AEPClaimBoundaryRegistry,0x8711eC9b240A5A6EA97931E38AfB918Ef1123939,proof,Claim boundaries,True,verified,https://etherscan.io/address/0x8711eC9b240A5A6EA97931E38AfB918Ef1123939,0x68e97ea81f7b0c2b13b1d49bb9472d00b7ab7cf7b35ac2c70ee8be4c62a34088,https://etherscan.io/tx/0x68e97ea81f7b0c2b13b1d49bb9472d00b7ab7cf7b35ac2c70ee8be4c62a34088
AEPCommitRevealValidationRegistry,0x2E0B6fd0d6A137575B405574723650852e4698f8,proof,Commit-reveal validation,True,verified,https://etherscan.io/address/0x2E0B6fd0d6A137575B405574723650852e4698f8,0x3af5e98a3a304c991e98e5cda4b899e0fe00f25a441865099bc237a00490458e,https://etherscan.io/tx/0x3af5e98a3a304c991e98e5cda4b899e0fe00f25a441865099bc237a00490458e
AEPConformanceRegistry,0x2A5E000C27Ba013CCa0b412C36B7C35e789AeAC6,proof,AEP conformance,True,verified,https://etherscan.io/address/0x2A5E000C27Ba013CCa0b412C36B7C35e789AeAC6,0x1c07290f76073eaec338337830cc21f45540536d8495a188e1df971d4a89a7ac,https://etherscan.io/tx/0x1c07290f76073eaec338337830cc21f45540536d8495a188e1df971d4a89a7ac
